timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2026-06-03 00:46:00,52,391,352,0,648,795,0
2026-06-03 01:46:00,43,391,170,0,617,604,0
2026-06-03 02:46:00,33,391,169,0,597,593,0
2026-06-03 03:46:00,43,391,177,0,590,611,0
2026-06-03 04:46:00,64,391,227,0,596,682,0
2026-06-03 05:46:00,51,390,218,0,628,659,0
2026-06-03 06:46:00,53,389,218,25,698,685,0
2026-06-03 07:46:00,32,391,179,88,782,690,0
2026-06-03 08:46:00,18,390,139,139,844,686,0
2026-06-03 09:46:00,5,390,159,142,872,696,0
2026-06-03 10:46:00,0,386,148,141,893,675,0
2026-06-03 11:46:00,0,389,149,146,896,684,0
2026-06-03 12:46:00,5,386,170,146,897,707,0
2026-06-03 13:46:00,7,386,383,146,895,922,0
2026-06-03 14:46:00,12,386,379,145,895,922,0
2026-06-03 15:46:00,19,386,209,97,907,711,0
2026-06-03 16:46:00,23,386,209,106,916,724,0
2026-06-03 17:46:00,35,385,210,103,912,733,0
2026-06-03 18:46:00,70,385,208,57,887,720,0
2026-06-03 19:46:00,134,386,330,13,870,863,0
2026-06-03 20:46:00,127,386,435,1,857,949,0
2026-06-03 21:46:00,114,385,399,0,854,897,0
