timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-09-08 00:46:00,185,205,189,0,634,579,0
2025-09-08 01:46:00,314,215,185,0,638,714,0
2025-09-08 02:46:00,287,215,189,0,647,691,0
2025-09-08 03:46:00,193,215,189,0,654,596,0
2025-09-08 04:46:00,230,215,190,0,656,635,0
2025-09-08 05:46:00,292,217,190,0,653,699,0
2025-09-08 06:46:00,281,217,189,0,649,687,0
2025-09-08 07:46:00,186,217,192,19,643,614,0
2025-09-08 08:46:00,155,216,198,71,730,640,0
2025-09-08 09:46:00,107,215,199,137,790,658,0
2025-09-08 10:46:00,99,215,194,137,836,645,0
2025-09-08 11:46:00,85,214,236,94,860,629,0
2025-09-08 12:46:00,126,215,272,120,865,733,0
2025-09-08 13:46:00,115,215,270,100,866,700,0
2025-09-08 14:46:00,144,212,264,119,865,739,0
2025-09-08 15:46:00,189,216,245,107,863,757,0
2025-09-08 16:46:00,158,215,257,117,851,747,0
2025-09-08 17:46:00,107,215,184,92,832,598,0
2025-09-08 18:46:00,53,216,187,41,827,497,0
